producto_id,codigo,descripcion,marca,primary_category,subcategory,tags,category_aliases,display_order,classification_status,classification_source,classification_reviewed_by,motivo
26644#14.1,26644,MORTADELA CLAS. CAMPOFRIO 330G C/15U,CAMPOFRIO,jamones_fiambres_cocidos,mortadela,marca,,40,auto_confirmado,regla:\bmortadela\b,,regla inequívoca
2736#14.2,2736,SALCHICHAS FRAN. CAMPOFRIO 4 PACK C/12U,CAMPOFRIO,salchichas_morcillas_preparados,salchichas,marca,,41,auto_confirmado,regla:\bsalchichas\b,,regla inequívoca
3286#14.3,3286,CENTRO DE JAMON NAVIDUL C/2 U,CAMPOFRIO,jamones_fiambres_cocidos,jamon,cerdo|marca,,42,pending_review,regla:\bcentro de jamon\b|\bcentro jamon\b,,señal débil: conviene confirmarlo
6803#15.1,6803,CHOPPED CERDO ESP. 350 GRS.CRISMONA,CRISMONA,jamones_fiambres_cocidos,chopped,cerdo|marca,,43,auto_confirmado,regla:\bchopped\b,,regla inequívoca
6803#15.2,6803,CHOPPED CERDO ESP. 350 GRS.CRISMONA,CRISMONA,jamones_fiambres_cocidos,chopped,cerdo|marca,,44,auto_confirmado,regla:\bchopped\b,,regla inequívoca
6803#15.3,6803,CHOPPED CERDO ESP. 350 GRS.CRISMONA,CRISMONA,jamones_fiambres_cocidos,chopped,cerdo|marca,,45,auto_confirmado,regla:\bchopped\b,,regla inequívoca
6804#16.1,6804,"CHOPPED CERDO ESP. 1,7 KG.CRISMONA",CRISMONA,jamones_fiambres_cocidos,chopped,cerdo|marca,,46,auto_confirmado,regla:\bchopped\b,,regla inequívoca
6812#16.2,6812,SALCHICHAS 5 PARES CRISMONA,CRISMONA,salchichas_morcillas_preparados,salchichas,marca,,47,auto_confirmado,regla:\bsalchichas\b,,regla inequívoca
4100#16.3,4100,ZURRAPA DE LOMO BLANCA 500 GM.,EL CASERITO,otros,,cerdo|marca,,48,pending_review,sin_regla,,ninguna regla reconoce esta descripción
4101#17.1,4101,ZURRAPA DE LOMO COLORA 500 GM.,EL CASERITO,otros,,cerdo|marca,,49,pending_review,sin_regla,,ninguna regla reconoce esta descripción
0000641#17.2,0000641,FIAMBRE SANDW 4KG SIN LACTOSA EL POZO,EL POZO,jamones_fiambres_cocidos,fiambre,marca|sin_lactosa,,50,auto_confirmado,regla:\bfiambre\b|\bfbre\b,,regla inequívoca
0005825#17.3,0005825,JAMON COCIDO EN SU JUGO EL POZO,EL POZO,jamones_fiambres_cocidos,jamon_cocido,cerdo|marca,,51,auto_confirmado,regla:\bjamon cocido\b,,regla inequívoca
10002#18.1,10002,"HARINA FREIR 5 KG. CUBO ""ESPIGA REAL""",ESPIGA REAL,otros,,marca,,52,pending_review,sin_regla,,ninguna regla reconoce esta descripción
500203#18.2,500203,UNIDAD PANCETA IBERICA TACOS,FRABER,embutidos_curados,panceta,cerdo|iberico|marca,,53,pending_review,regla:\bpanceta\b,,señal débil: conviene confirmarlo
53100P#18.3,53100P,LACON COCIDO Y AHUMADO EXTRA,FRIMANCHA,jamones_fiambres_cocidos,lacon,marca,,54,auto_confirmado,regla:\blacon\b,,regla inequívoca
6708#19.1,6708,CHOPPED 2.2 KG LATA C/2P FRIMANCHA,FRIMANCHA,jamones_fiambres_cocidos,chopped,cerdo|marca,,55,auto_confirmado,regla:\bchopped\b,,regla inequívoca
6710#19.2,6710,HAMBURGUESAS CONG.(6KILOS) FRIMANCHA,FRIMANCHA,congelados,,congelado|marca,,56,auto_confirmado,regla:\bcong\b|\bcongelad,,regla inequívoca
6722#19.3,6722,CABEZA DE JABALI FRIMANCHA,FRIMANCHA,jamones_fiambres_cocidos,fiambre,marca,,57,auto_confirmado,regla:\bcabeza de jabali\b,,regla inequívoca
1100#20.1,1100,HOT DOG DE POLLO,HERMANOS DEL RIO,salchichas_morcillas_preparados,salchichas,marca|pollo|sin_lactosa,,58,auto_confirmado,regla:\bhot dog\b,,regla inequívoca
1106#20.2,1106,SALCHICHAS DE POLLO MINI 400GM,HERMANOS DEL RIO,salchichas_morcillas_preparados,salchichas,marca|pollo|sin_lactosa,,59,auto_confirmado,regla:\bsalchichas\b,,regla inequívoca
3900#20.3,3900,VIOLINES C/ 8 PACK 4 UD.CARLOS III,HORNO CARLOS III,panaderia,violines,marca,,60,auto_confirmado,regla:\bviolines?\b,,regla inequívoca
3901#21.1,3901,OCHITOS C/ 8 PACK 4 UDS.HORNO CARLOS III,HORNO CARLOS III,panaderia,ochitos,marca,,61,auto_confirmado,regla:\bochitos\b,,regla inequívoca
3909#21.2,3909,"SACO DE ROSQUILLAS DE 7,5 KG.",HORNO CARLOS III,panaderia,rosquillas,marca,,62,auto_confirmado,regla:\brosquillas?\b,,regla inequívoca
3911#21.3,3911,INTEGRALES VIOLINES C/ 8 PACK 4 U.HORNO CARLOS III,HORNO CARLOS III,panaderia,violines,marca,,63,auto_confirmado,regla:\bviolines?\b,,regla inequívoca
OF3900#22.1,OF3900,SIN CARGO VIOLINES C/ 8 PACK 4 UDS.H. CARLOS III,HORNO CARLOS III,panaderia,violines,marca,,64,auto_confirmado,regla:\bviolines?\b,,regla inequívoca
CM01#22.2,CM01,MEMBRILLO CREMA EXTRA 3.750KG.,LA GONDOLA,membrillo_dulces,membrillo,marca,,65,auto_confirmado,regla:\bmembrillo\b,,regla inequívoca
CM02#22.3,CM02,"MEMBRILLO SIN AZUCAR 3,750 KG",LA GONDOLA,membrillo_dulces,membrillo,marca,,66,auto_confirmado,regla:\bmembrillo\b,,regla inequívoca
CM03#23.1,CM03,CREMA MEMBRILLO 900GR 8/UC CON FRUCTOSA,LA GONDOLA,membrillo_dulces,membrillo,marca,,67,auto_confirmado,regla:\bmembrillo\b,,regla inequívoca
CM05#23.2,CM05,"MEMBRILLO CASERO LA ABUELA FILO 3,75 KG NETO",LA GONDOLA,membrillo_dulces,membrillo,marca,,68,auto_confirmado,regla:\bmembrillo\b,,regla inequívoca
CM07#23.3,CM07,LATA MLLO CON FRUCTOSA 300GR 12/C,LA GONDOLA,membrillo_dulces,membrillo,marca,,69,auto_confirmado,regla:\bmllo\b,,regla inequívoca
CMP1#24.1,CMP1,CREMA DE MEMBRILLO 40GM. 98/UN,LA GONDOLA,membrillo_dulces,membrillo,marca,,70,auto_confirmado,regla:\bmembrillo\b,,regla inequívoca
30101#24.2,30101,FILETES DE CABALLA A/G 1800 C/ 6,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,71,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
30101#24.3,30101,FILETES DE CABALLA A/G 1800 C/ 6,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,72,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
30201#25.1,30201,FILETES DE CABALLA A/G 250 C/24 PACK6PZAS,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,73,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
30201#25.2,30201,FILETES DE CABALLA A/G 250 C/24 PACK6PZAS,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,74,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
30301#25.3,30301,FILETES CABALLA RO 550 C/24 A/G,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,75,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
30301#26.1,30301,FILETES CABALLA RO 550 C/24 A/G,LA TARIFEÑA,conservas_pescado,caballa,marca|pescado,,76,auto_confirmado,regla:\bcaballa\b,,regla inequívoca
